Journal,Rank,Author,PapersInJournal,PrimaryAffiliation,TopAffiliationsInJournal,ORCID,OpenAlexAuthorId
JIS,47,Peter Kipp,5,University of North Texas,University of North Texas (5),https://orcid.org/0000-0002-7563-3529,https://openalex.org/A5043491336
JIS,47,Rajendra P. Srivastava,5,University of Kansas,University of Kansas (4),https://orcid.org/0000-0002-6292-4087,https://openalex.org/A5101824578
JIS,47,Ralph E. Viator,5,University of Kentucky,Texas Tech University (4); University of Kentucky (1),,https://openalex.org/A5068594749
JIS,47,Richard B. Dull,5,West Virginia University,West Virginia University (4); Indiana University (1),https://orcid.org/0000-0001-9473-2162,https://openalex.org/A5046499432
JIS,47,Ronald J. Daigle,5,Sam Houston State University,Sam Houston State University (3); Louisiana State University (1),,https://openalex.org/A5006871871
JIS,47,Sally Wright,5,University of Massachusetts Boston,University of Massachusetts Boston (5),https://orcid.org/0000-0002-7889-4871,https://openalex.org/A5110040600
JIS,47,Stephanie Farewell,5,,University of Arkansas at Little Rock (2); University of Arkansas at Fayetteville (1),,https://openalex.org/A5083010218
JIS,47,Woong-Kyu Lee,5,,,https://orcid.org/0009-0009-4385-5985,https://openalex.org/A5102971997
JIS,47,Yiyang Zhang,5,Youngstown State University,Youngstown State University (5),https://orcid.org/0000-0003-0600-3221,https://openalex.org/A5030505021
JIS,72,Antoinette L. Smith,4,Florida International University,Florida International University (4),https://orcid.org/0000-0001-6162-0797,https://openalex.org/A5073999070
JIS,72,Arnold M. Wright,4,Boston College,Boston College (4),,https://openalex.org/A5103443238
JIS,72,Benson Wier,4,Virginia Commonwealth University,Virginia Commonwealth University (4),,https://openalex.org/A5039959962
JIS,72,Bruce Dehning,4,University of Technology Sydney,Chapman University (3); University of New Hampshire at Manchester (1); University of Technology Sydney (1),https://orcid.org/0000-0002-2216-6867,https://openalex.org/A5076358474
JIS,72,Casper E. Wiggins,4,University of North Carolina at Charlotte,University of North Carolina at Charlotte (2); Mitchell Institute (1); Texas A&M University (1),,https://openalex.org/A5111817643
JIS,72,Chang‐Kyo Suh,4,,,https://orcid.org/0000-0001-5764-5561,https://openalex.org/A5018658462
JIS,72,Dal-Ho Son,4,,,,https://openalex.org/A5051757637
JIS,72,David Hayes,4,Louisiana State University,Louisiana State University (2); University of South Florida (2),https://orcid.org/0000-0001-7053-9069,https://openalex.org/A5030088157
JIS,72,Elaine Mauldin,4,University of Missouri,University of Missouri (4),https://orcid.org/0000-0003-3152-6710,https://openalex.org/A5078062811
JIS,72,Ha-Jin Hwang,4,,,,https://openalex.org/A5020899801
JIS,72,Hyunchul Ahn,4,,,https://orcid.org/0000-0003-1867-6423,https://openalex.org/A5010379074
JIS,72,Jie Zhou,4,"California State University, Fullerton","California State University, Fullerton (4)",https://orcid.org/0000-0003-4677-3001,https://openalex.org/A5036015200
JIS,72,John Peter Krahel,4,Loyola University Maryland,"Loyola University Maryland (3); Rutgers, The State University of New Jersey (1)",,https://openalex.org/A5029157426
