PublicationYear,PublicationDate,Journal,Title,Authors,DOI,LandingPageUrl,OpenAlexWorkId
2024,2024-08-06,JETA,Using Artificial Intelligence in ESG Assurance,Nichole Li; Meehyun Kim; Jun Dai; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2022-054,https://doi.org/10.2308/jeta-2022-054,https://openalex.org/W4401360651
2024,2024-07-29,JETA,Applying Large Language Models in Accounting: A Comparative Analysis of Different Methodologies and Off-the-Shelf Examples,Huaxia Li; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2023-065,https://doi.org/10.2308/jeta-2023-065,https://openalex.org/W4401072240
2024,2024-07-15,IJAIS,Artificial intelligence co-piloted auditing,Hanchi Gu; Marco Schreyer; Kevin Moffitt; Miklos A. Vasarhelyi,https://doi.org/10.1016/j.accinf.2024.100698,https://doi.org/10.1016/j.accinf.2024.100698,https://openalex.org/W4400654973
2024,2024-07-13,IJAIS,Fair value estimates for illiquid cryptocurrency,G. Zhang; Alexander J. Sannella; Gerard Brennan; Muhammad Talha Afzal,https://doi.org/10.1016/j.accinf.2024.100700,http://dx.doi.org/10.1016/j.accinf.2024.100700,https://openalex.org/W4400601937
2024,2024-07-04,IJAIS,Government ESG reporting in smart cities,Yu Gu; Steven E. Katz; Xinxin Wang; Miklos A. Vasarhelyi; Jun Dai,https://doi.org/10.1016/j.accinf.2024.100701,https://doi.org/10.1016/j.accinf.2024.100701,https://openalex.org/W4400310052
2024,2024-07-03,IJAIS,The marketing on Big 4 websites of Big Data Analytics in the external audit: Evidence and consequences,Michael Alles; Glen L. Gray,https://doi.org/10.1016/j.accinf.2024.100697,https://doi.org/10.1016/j.accinf.2024.100697,https://openalex.org/W4400272957
2024,2024-07-02,IJAIS,Empirical analysis of liquidity thresholds for crypto assets,Sheng-Feng Hsieh; Gerard Brennan; Alexander J. Sannella,https://doi.org/10.1016/j.accinf.2024.100699,http://dx.doi.org/10.1016/j.accinf.2024.100699,https://openalex.org/W4400299720
2024,2024-05-16,JIS,Measuring Audit Quality with Surprise Scores: Evidence from China and the U.S.,Hanxin Hu; Ting Sun; Miklos A. Vasarhelyi; Min Zhang,https://doi.org/10.2308/isys-2023-027,https://doi.org/10.2308/isys-2023-027,https://openalex.org/W4396980301
2024,2024-05-16,JIS,Outlier Detection in Auditing: Integrating Unsupervised Learning within a Multilevel Framework for General Ledger Analysis,Danyang Wei; Soohyun Cho; Miklos A. Vasarhelyi; Liam Te-Wierik,https://doi.org/10.2308/isys-2022-026,https://doi.org/10.2308/isys-2022-026,https://openalex.org/W4396980313
2024,2024-03-08,JIS,External Nonfinancial Measures in Substantive Analytical Procedures: Contributions of Weather Information,Kyunghee Yoon; Alexander Kogan; Miklos A. Vasarhelyi; Tim Pearce,https://doi.org/10.2308/isys-2023-066,https://doi.org/10.2308/isys-2023-066,https://openalex.org/W4392603236
2024,2024-02-20,JETA,Rethinking the Standard-Setting Process: The Role of Intangibles,Melissa A. Dardani; Yu Gu; Hanxin Hu; Ann F. Medinets; Dan Palmon; Miklos A. Vasarhelyi,https://doi.org/10.2308/jeta-2024-001,https://doi.org/10.2308/jeta-2024-001,https://openalex.org/W4391957913
